No.,Partner Instansi,Negara,Alamat,Jumlah Mitra,MoU,MoA,IA,Agenda  Kerjasama,Bergelar (JD/DD),TANPA Gelar,Student Exchange,Tgl Tanda Tangan,Tgl Berakhir,Tanggal Auto Renewed/No Limit/Years to come,Pendidikan Luar Negeri,Industri Luar Negeri,Organisasi Luar Negeri,Yayasan Luar Negeri,Pemerintah Luar Negeri,Faculty of Humanities and Creative Industries,,,,,,,,Faculty of Civil Engineering & Planning,,,,,School of Business & Management,,,,,,,,,,,,,Faculty of Industrial Technology,,,,,,Faculty of Teacher Education,,Faculty of Medicine,Faculty of Dentistry,Bureau,,,,,,,,,,Scope of Collaboration,,,,
181,"Universiti Malaysia Perlis (UniMAP), Malaysia",Malaysia,"1,2,9,10 and 11th floor, Bangunan KWSP, Jalan Bukit Lagi, 01000 Kangar, Perlis",FALSE,TRUE,FALSE,FALSE,MoU: Asia Summer Program,,1,,16-Jul-12,15-Jul-17,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
182,"Universiti Putra Malaysia, Malaysia",Malaysia,"43400 UPM Serdang
Selangor Darul Ehsan
MALAYSIA",TRUE,TRUE,FALSE,FALSE,"MoU: Exchange of research scientists and faculty members, exchange students, exchange academic materials, joint research, seminar and academic meeting, special short-term training programs.",,1,,31-Oct-12,30-Oct-15,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
183,"Universiti Tunku Abdul Rahman (UTAR), Malaysia",Malaysia,"Sungai Long Campus Jalan Sungai Long, Bandar Sungai Long, Cheras, 43000 Kajang, Selangor Darul Ehsan",TRUE,TRUE,FALSE,FALSE,"MoU: 1. Exchange of Faculty Members, Research Scholars and Students
2. Exchange of lectures/presentations via video teleconference activities; including scientific materials, publications, and information
3. Joint research activities and publications, conferences, academic programs, and cultural activities
4. Joint research projects and joint courses of study, with particular emphasis on internationally funded projects",,1,,14-Dec-15,13-Dec-18,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
184,"Universiti Tunku Abdul Rahman (UTAR), Malaysia",Malaysia,"Sungai Long Campus Jalan Sungai Long, Bandar Sungai Long, Cheras, 43000 Kajang, Selangor Darul Ehsan",FALSE,TRUE,FALSE,FALSE,"MoU: 1. Exchange of Faculty Members, Research Scholars and Students
2. Exchange of lectures/presentations via video teleconference activities; including scientific materials, publications, and information
3. Joint research activities and publications, conferences, academic programs, and cultural activities
4. Joint research projects and joint courses of study, with particular emphasis on internationally funded projects",,1,,12-Dec-19,auto renewed,11-Dec-22,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
185,"Universiti Tunku Abdul Rahman (UTAR), Malaysia",Malaysia,"Sungai Long Campus Jalan Sungai Long, Bandar Sungai Long, Cheras, 43000 Kajang, Selangor Darul Ehsan",FALSE,FALSE,TRUE,FALSE,MoA: Student Exchange,,1,1,14-Dec-15,13-Dec-18,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
186,"Universiti Tunku Abdul Rahman (UTAR), Malaysia",Malaysia,"Sungai Long Campus Jalan Sungai Long, Bandar Sungai Long, Cheras, 43000 Kajang, Selangor Darul Ehsan",FALSE,FALSE,TRUE,FALSE,MoA: Student Exchange (2 peserta/semester),,1,1,12-Dec-19,11-Dec-22,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
187,"Huree University of Information and Communication Technology, Mongolia",Mongolia,"Khasbaatryn Street, 11th Committee, micro-districts, Bayangol district, Ulaanbaatar",TRUE,TRUE,FALSE,FALSE,"MoU: exchange of faculty, research personnel, and students, collaborative programs, joint educational, training and research",,1,,30-Oct-12,auto renewed,29-Oct-17,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
188,"Al-Wali Foundation, the Netherlands",Netherlands,Melis Stokelaan 420 2533EK Den Haag,TRUE,TRUE,FALSE,FALSE,MoU: International Community Service Program,,1,,15-May-15,14-May-16,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
189,"Al-Wali Foundation, the Netherlands",Netherlands,Melis Stokelaan 420 2533EK Den Haag,FALSE,TRUE,FALSE,FALSE,MoU: International Community Service Program,,1,,15-May-16,31-Dec-18,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
190,"Al-Wali Foundation, the Netherlands",Netherlands,Melis Stokelaan 420 2533EK Den Haag,FALSE,TRUE,FALSE,FALSE,MoU: International Community Service Program,,1,,29-May-19,28-May-21,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
191,"Fontys University of Applied Sciences, The Netherlands",Netherlands,"De Lismortel 25, 2512 AR Eindhoven",TRUE,FALSE,TRUE,FALSE,MoA: Dual Degree,1,,,12-May-09,No Limit,No Limit,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
192,"Fontys University of Applied Sciences, The Netherlands",Netherlands,"De Lismortel 25, 2512 AR Eindhoven",FALSE,TRUE,FALSE,FALSE,"MoU: 1. Student exchange
2. exchange of academic staff
3. joint program 
4. credit transfer
5. joint research, seminars & conferences",,1,,1-Aug-07,31-Jul-12,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
193,"Fontys University of Applied Sciences, The Netherlands",Netherlands,"De Lismortel 25, 2512 AR Eindhoven",FALSE,TRUE,FALSE,FALSE,"MoU: 1. participate in teaching
2. organize specific training cycles, JD/DD
3. facilitate reception of exchange students and trainees
4. define common research programs in agreed niche areas
5. develop reseach project funding proposal, co-supervised postgraduate studies, research programs already started in common
6. undertake staff capacity building",,1,,29-Oct-19,28-Oct-24,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
194,"Fontys University of Applied Sciences, The Netherlands",Netherlands,"De Lismortel 25, 2512 AR Eindhoven",FALSE,FALSE,TRUE,FALSE,MoA: Joint Degree,1,,,29-Oct-19,No Limit,No Limit,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
195,"Fontys University of Applied Sciences, The Netherlands",Netherlands,"De Lismortel 25, 2512 AR Eindhoven",FALSE,FALSE,TRUE,FALSE,MoA: Double Degree (EXISTENTE Program),1,,,1-Aug-07,end,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
196,"Hanze University of Applied Science / Hanzehogeschool Groningen, the Netherlands",Netherlands,"Zernikeplein 11, 9747 AS",TRUE,FALSE,TRUE,FALSE,Addendum to MoA: Joint Degree,1,,,28-May-01,31-Jul-03,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
197,"Hanze University of Applied Science / Hanzehogeschool Groningen, the Netherlands",Netherlands,"Zernikeplein 11, 9747 AS",FALSE,TRUE,FALSE,FALSE,"MoU: Student Exchange, Exchange of Academic Staff, Joint Program, Credit transfer, Joint Research, seminars, conferences",,1,,15-Jul-08,14-Jul-13,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
198,"Hanze University of Applied Science / Hanzehogeschool Groningen, the Netherlands",Netherlands,"Zernikeplein 11, 9747 AS",FALSE,FALSE,TRUE,FALSE,MoA: Joint Degree,1,,,12-May-09,1-May-14,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
199,"Hanze University of Applied Science / Hanzehogeschool Groningen, the Netherlands",Netherlands,"Zernikeplein 11, 9747 AS",FALSE,FALSE,TRUE,FALSE,MoA: Second Degree Program (Joint Degree),1,,,1-Feb-99,1-Jul-01,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
200,"Hanze University of Applied Science / Hanzehogeschool Groningen, the Netherlands",Netherlands,"Zernikeplein 11, 9747 AS",FALSE,FALSE,TRUE,FALSE,MoA: Joint Degree,1,,,1-Jul-12,30-Jun-17,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
201,"Hanze University of Applied Science / Hanzehogeschool Groningen, the Netherlands",Netherlands,"Zernikeplein 11, 9747 AS",FALSE,FALSE,TRUE,FALSE,MoA: Double Degree (EXISTENTE Program),1,,,22-Feb-08,end,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
202,"Hanze University of Applied Science / Hanzehogeschool Groningen, the Netherlands",Netherlands,"Zernikeplein 11, 9747 AS",FALSE,FALSE,TRUE,FALSE,Addendum to MoA: Joint Degree,1,,,1-Feb-99,31-Jan-01,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
203,"Hanze University of Applied Science / Hanzehogeschool Groningen, the Netherlands",Netherlands,"Zernikeplein 11, 9747 AS",FALSE,FALSE,TRUE,FALSE,Addendum (II) to MoA: Second Degree Program (Joint Degree),1,,,6-May-03,31-Jul-03,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
204,"Hogeschool van Utrecht / Hogeschool Utrecht, the Netherlands",Netherlands,Oudenoord 340 P.O. Box 13102 3513 EX Utrecht,TRUE,FALSE,TRUE,FALSE,"MoA: Double Degree; Joint Research; Student Exchange; Staff & Faculty Exchange, Cooperation Program",,1,,7-Mar-03,6-Mar-06,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
205,"Hogeschool van Utrecht / Hogeschool Utrecht, the Netherlands",Netherlands,Oudenoord 340 P.O. Box 13102 3513 EX Utrecht,FALSE,TRUE,FALSE,FALSE,"MoU: sister-school relationship (staff's visit, student training, academic and research exchanges) ",,1,,7-Mar-03,6-Mar-08,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
206,"Hogeschool van Utrecht / Hogeschool Utrecht, the Netherlands",Netherlands,Oudenoord 340 P.O. Box 13102 3513 EX Utrecht,FALSE,FALSE,TRUE,FALSE,MoA: Double Degree (EXISTENTE Program),1,,,22-Feb-08,end,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
207,"Inholland University of Applied Sciences / Hogeschool Inholland, The Netherlands",Netherlands,Bijdorplaan 15 2015 CE,TRUE,TRUE,FALSE,FALSE,Appendix to MoU: Double Degree,1,,,7-Oct-99,1-Oct-04,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
208,"Inholland University of Applied Sciences / Hogeschool Inholland, The Netherlands",Netherlands,Bijdorplaan 15 2015 CE,FALSE,TRUE,FALSE,FALSE,"MoU: Student Exchange, Visiting Scholars, Joint Research, Exchange of material in teaching and research",,1,,20-Jun-00,19-Jun-05,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
209,"Inholland University of Applied Sciences / Hogeschool Inholland, The Netherlands",Netherlands,Bijdorplaan 15 2015 CE,FALSE,TRUE,FALSE,FALSE,"MoU: Visiting scholars, exchange of faculty and research scholars, student exchange, twinning program, joint research",,1,,7-Mar-03,6-Mar-08,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
210,"Inholland University of Applied Sciences / Hogeschool Inholland, The Netherlands",Netherlands,Bijdorplaan 15 2015 CE,FALSE,TRUE,FALSE,FALSE,"MoU: Staff and student exchange, joint research projects, joint outreach program, curriculum development",,1,,17-Dec-10,auto renewed,16-Dec-15,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
211,"Inholland University of Applied Sciences / Hogeschool Inholland, The Netherlands",Netherlands,Bijdorplaan 15 2015 CE,FALSE,TRUE,FALSE,FALSE,MoU: COP,,1,,15-Jan-03,14-Jan-08,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
212,"Inholland University of Applied Sciences / Hogeschool Inholland, The Netherlands",Netherlands,Bijdorplaan 15 2015 CE,FALSE,TRUE,FALSE,FALSE,"MoU: Exchange of staff and student, academic exchange, visiting professors, credit transfer",,1,,22-Jul-98,end,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
